Team,League,lat,lon
Berriew,North East,52.596193,-3.197105
Bow Street,North West,52.452153,-4.020442
Caersws,North West,52.513568,-3.428089
Carno,North West,52.557302,-3.534271
Cefn Albion,North East,52.977751,-3.068992
Chirk AAA,North East,52.934843,-3.057168
Corwen,North West,52.982213,-3.373653
Four Crosses,North East,52.759018,-3.073997
Kerry,North East,52.502459,-3.262105
Llanfair Utd,North West,52.648439,-3.322101
Machynlleth,North West,52.588688,-3.852292
Montgomery Town,North East,52.560034,-3.143754
Penparcau,North West,52.402988,-4.070909
Penycae,North East,53.000074,-3.059828
Rhos Aelwyd,North East,53.012172,-3.051917
Welshpool Town,North East,52.655997,-3.145311
Blaenau Amateurs,North West,52.981221,-3.928254
Brickfield Rangers,North East,53.042478,-3.014075
Brymbo,North East,53.063233,-3.047126
CPD Porthmadog,North West,52.931808,-4.118966
Denbigh Town,North West,53.184876,-3.410103
Dyffryn Nantlle Vale,North West,53.052026,-4.279657
Llandudno Albion,North West,53.316712,-3.830586
Llanrwst United,North West,53.135682,-3.798899
Llanuwchllyn,North West,52.856061,-3.669935
Llay Welfare,North East,53.094512,-3.003428
Mold Alexandra,North East,53.165061,-3.137442
Rhostyllen,North East,53.031008,-3.03051
Rhydymwyn,North East,53.19392,-3.1916
Saltney Town,North East,53.176659,-2.938222
St Asaph City,North West,53.254408,-3.445489
Y Felinheli,North West,53.190604,-4.196022
