origin,destination,distance_km,duration_mins,,League
Blaenau Amateurs,Blaenau Amateurs,NA,NA,NA,North West
Brickfield Rangers,Blaenau Amateurs,89.44,81.48,55.57542224,North West
Brymbo,Blaenau Amateurs,87.35,77.37,54.27675685,North West
CPD Porthmadog,Blaenau Amateurs,16.43,18.22,10.20912553,North West
Denbigh Town,Blaenau Amateurs,56.39,67.17,35.03911069,North West
Dyffryn Nantlle Vale,Blaenau Amateurs,37.71,40.48,23.43190041,North West
Llandudno Albion,Blaenau Amateurs,50.19,65.07,31.18661049,North West
Llanrwst United,Blaenau Amateurs,26.13,33.02,16.23642423,North West
Llanuwchllyn,Blaenau Amateurs,51.64,40.33,32.08759844,North West
Llay Welfare,Blaenau Amateurs,92,84.78,57.166132,North West
Mold Alexandra,Blaenau Amateurs,94.21,85.4,58.53936191,North West
Rhostyllen,Blaenau Amateurs,95.9,80.12,59.5894789,North West
Rhydymwyn,Blaenau Amateurs,94.9,85.6,58.9681079,North West
Saltney Town,Blaenau Amateurs,100.77,98.68,62.61555567,North West
St Asaph City,Blaenau Amateurs,69.67,73.5,43.29091757,North West
Y Felinheli,Blaenau Amateurs,57.92,65.6,35.98980832,North West
Blaenau Amateurs,Brickfield Rangers,89.42,81.8,55.56299482,North West
Brickfield Rangers,Brickfield Rangers,NA,NA,NA,North West
Brymbo,Brickfield Rangers,3.58,6.53,2.22450818,North West
CPD Porthmadog,Brickfield Rangers,93.36,89.38,58.01119656,North West
Denbigh Town,Brickfield Rangers,39.74,59.9,24.69328354,North West
Dyffryn Nantlle Vale,Brickfield Rangers,131.71,108.3,81.84077441,North West
Llandudno Albion,Brickfield Rangers,86.78,70.48,53.92257538,North West
Llanrwst United,Brickfield Rangers,69.92,68.63,43.44626032,North West
Llanuwchllyn,Brickfield Rangers,56.11,59.08,34.86512681,North West
Llay Welfare,Brickfield Rangers,9.29,14.45,5.77253659,North West
Mold Alexandra,Brickfield Rangers,19.67,32.07,12.22236757,North West
Rhostyllen,Brickfield Rangers,2.13,4.28,1.32352023,North West
Rhydymwyn,Brickfield Rangers,23.86,39.25,14.82591206,North West
Saltney Town,Brickfield Rangers,21.91,32.85,13.61423861,North West
St Asaph City,Brickfield Rangers,56.7,48.65,35.2317357,North West
Y Felinheli,Brickfield Rangers,113.06,81.45,70.25220526,North West
Blaenau Amateurs,Brymbo,87.35,77.7,54.27675685,North West
Brickfield Rangers,Brymbo,3.58,6.53,2.22450818,North West
Brymbo,Brymbo,NA,NA,NA,North West
CPD Porthmadog,Brymbo,91.29,85.28,56.72495859,North West
Denbigh Town,Brymbo,37.67,55.8,23.40704557,North West
Dyffryn Nantlle Vale,Brymbo,112.56,107.55,69.94151976,North West
Llandudno Albion,Brymbo,79.12,71.42,49.16287352,North West
Llanrwst United,Brymbo,67.84,64.53,42.15380864,North West
Llanuwchllyn,Brymbo,54.04,54.98,33.57888884,North West
Llay Welfare,Brymbo,7.76,16.73,4.82183896,North West
Mold Alexandra,Brymbo,16.82,30.37,10.45146022,North West
Rhostyllen,Brymbo,5.48,7.6,3.40511308,North West
Rhydymwyn,Brymbo,21,37.55,13.048791,North West
Saltney Town,Brymbo,20.79,39.53,12.91830309,North West
St Asaph City,Brymbo,49.05,49.58,30.47824755,North West
Y Felinheli,Brymbo,105.4,82.38,65.4925034,North West
Blaenau Amateurs,CPD Porthmadog,16.48,18.43,10.24019408,North West
Brickfield Rangers,CPD Porthmadog,93.43,89.28,58.05469253,North West
Brymbo,CPD Porthmadog,91.33,85.17,56.74981343,North West
CPD Porthmadog,CPD Porthmadog,NA,NA,NA,North West
Denbigh Town,CPD Porthmadog,72.09,80.33,44.79463539,North West
Dyffryn Nantlle Vale,CPD Porthmadog,21.4,22.65,13.2973394,North West
Llandudno Albion,CPD Porthmadog,65.89,78.23,40.94213519,North West
Llanrwst United,CPD Porthmadog,41.84,46.18,25.99816264,North West
Llanuwchllyn,CPD Porthmadog,55.63,48.13,34.56686873,North West
Llay Welfare,CPD Porthmadog,95.99,92.58,59.64540229,North West
Mold Alexandra,CPD Porthmadog,98.19,93.2,61.01241849,North West
Rhostyllen,CPD Porthmadog,99.89,87.92,62.06874919,North West
Rhydymwyn,CPD Porthmadog,98.89,93.4,61.44737819,North West
Saltney Town,CPD Porthmadog,104.75,106.48,65.08861225,North West
St Asaph City,CPD Porthmadog,85.38,86.67,53.05265598,North West
Y Felinheli,CPD Porthmadog,41.61,47.77,25.85524731,North West
Blaenau Amateurs,Denbigh Town,56.39,67.32,35.03911069,North West
Brickfield Rangers,Denbigh Town,39.69,59.27,24.66221499,North West
Brymbo,Denbigh Town,37.59,55.15,23.35733589,North West
CPD Porthmadog,Denbigh Town,71.98,80.18,44.72628458,North West
Denbigh Town,Denbigh Town,NA,NA,NA,North West
Dyffryn Nantlle Vale,Denbigh Town,86.16,88.2,53.53732536,North West
Llandudno Albion,Denbigh Town,41.23,50.38,25.61912633,North West
Llanrwst United,Denbigh Town,43.78,50.58,27.20362238,North West
Llanuwchllyn,Denbigh Town,55.76,60.67,34.64764696,North West
Llay Welfare,Denbigh Town,44.51,49.6,27.65722321,North West
Mold Alexandra,Denbigh Town,23.94,32.52,14.87562174,North West
Rhostyllen,Denbigh Town,41.6,60.33,25.8490336,North West
Rhydymwyn,Denbigh Town,19.22,24.43,11.94275062,North West
Saltney Town,Denbigh Town,41.72,46.78,25.92359812,North West
St Asaph City,Denbigh Town,9.76,21.35,6.06458096,North West
Y Felinheli,Denbigh Town,67.51,61.35,41.94875621,North West
Blaenau Amateurs,Dyffryn Nantlle Vale,37.97,41.57,23.59345687,North West
Brickfield Rangers,Dyffryn Nantlle Vale,130.34,106.53,80.98949614,North West
Brymbo,Dyffryn Nantlle Vale,112.83,108.3,70.10928993,North West
CPD Porthmadog,Dyffryn Nantlle Vale,21.62,23.52,13.43404102,North West
Denbigh Town,Dyffryn Nantlle Vale,85.34,85.72,53.02780114,North West
Dyffryn Nantlle Vale,Dyffryn Nantlle Vale,NA,NA,NA,North West
Llandudno Albion,Dyffryn Nantlle Vale,56.98,59.7,35.40571958,North West
Llanrwst United,Dyffryn Nantlle Vale,63.33,69.32,39.35142543,North West
Llanuwchllyn,Dyffryn Nantlle Vale,77.12,71.27,47.92013152,North West
Llay Welfare,Dyffryn Nantlle Vale,118.66,98.02,73.73188286,North West
Mold Alexandra,Dyffryn Nantlle Vale,105.98,89.03,65.85289858,North West
