Team,League,lat,lon
Aberbargoed Buds,South East,51.695383,-3.220022
Abergavenny Town,South East,51.82902,-3.022262
Abertillery Bluebirds,South East,51.736351,-3.135036
Abertillery Excelsiors,South East,51.74652,-3.135641
Caldicot Town,South East,51.591646,-2.753021
Chepstow Town,South East,51.635943,-2.68159
Croesyceiliog,South East,51.657829,-3.010922
Goytre FC,South East,51.730969,-2.971429
Llandrindod Wells,South East,52.241777,-3.372462
Monmouth Town,South East,51.730969,-2.971429
Newport City,South East,51.572971,-2.960842
Panteg,South East,51.604541,-3.088885
Rhayader Town,South East,52.298705,-3.510503
Tredegar Town,South East,51.764531,-3.241342
Treowen Stars,South East,51.668188,-3.150063
Trethomas Bluebirds,South East,51.634507,-3.235915
AFC Llwydcoed,South West,51.736531,-3.459286
AFC Porth,South West,51.615209,-3.428537
Caerau Ely,South West,51.464609,-3.247924
Cwmamman Utd,South West,51.804886,-3.931868
Dinas Powys,South West,51.432306,-3.212992
Garden Village,South West,51.660085,-4.037493
Penrhiwceiber Rangers,South West,51.668123,-3.359615
Penydarren BGC,South West,51.759382,-3.362839
Pontardawe Town,South West,51.715501,-3.854882
Pontyclun,South West,51.519238,-3.397648
STM Sports,South West,51.516112,-3.13525
Ton Pentre,South West,51.647094,-3.48619
Treharris Athletic,South West,51.66906,-3.299085
West End,South West,51.644364,-3.852603
Ynyshir Albions,South West,51.624704,-3.409485
Ynysygerwn,South West,51.644364,-3.852603
Berriew,North East,52.596193,-3.197105
Bow Street,North East,52.452153,-4.020442
Caersws,North East,52.513568,-3.428089
Carno,North East,52.557302,-3.534271
Cefn Albion,North East,52.977751,-3.068992
Chirk AAA,North East,52.934843,-3.057168
Corwen,North East,52.982213,-3.373653
Four Crosses,North East,52.759018,-3.073997
Kerry,North East,52.502459,-3.262105
Llanfair Utd,North East,52.648439,-3.322101
Machynlleth,North East,52.588688,-3.852292
Montgomery Town,North East,52.560034,-3.143754
Penparcau,North East,52.402988,-4.070909
Penycae,North East,53.000074,-3.059828
Rhos Aelwyd,North East,53.012172,-3.051917
Welshpool Town,North East,52.655997,-3.145311
Blaenau Amateurs,North West,52.981221,-3.928254
Brickfield Rangers,North West,53.042478,-3.014075
Brymbo,North West,53.063233,-3.047126
CPD Porthmadog,North West,52.931808,-4.118966
Denbigh Town,North West,53.184876,-3.410103
Dyffryn Nantlle Vale,North West,53.052026,-4.279657
Llandudno Albion,North West,53.316712,-3.830586
Llanrwst United,North West,53.135682,-3.798899
Llanuwchllyn,North West,52.856061,-3.669935
Llay Welfare,North West,53.094512,-3.003428
Mold Alexandra,North West,53.165061,-3.137442
Rhostyllen,North West,53.031008,-3.03051
Rhydymwyn,North West,53.19392,-3.1916
Saltney Town,North West,53.176659,-2.938222
St Asaph City,North West,53.254408,-3.445489
Y Felinheli,North West,53.190604,-4.196022
